id,start-date,submit-date,network,age-group,country,years-php,years-programming,education,numframeworks,fw-work-choice,fw-work-other,fw-work-reason-easy,fw-work-reason-community,fw-work-reason-tutorials,fw-work-reason-tested,fw-work-reason-features,fw-work-reason-forced,fw-work-reason-other,fw-work-reason-other-why,fw-personal-choice,fw-personal-other,fw-personal-reason-easy,fw-personal-reason-community,fw-personal-reason-tutorials,fw-personal-reason-tested,fw-personal-reason-features,fw-personal-reason-other,fw-personal-reason-other-why,contributes,laravel,yii1,yii2,zf1,zf2,symfony2,phalcon,aura,slim,silex,webiny,cake,fuel,kohana,ci,prado,phpixie,flight,simple,typo,nette,agavi,other
178,"2015-02-27 17:33:27","2015-02-27 17:38:38",8719c87f1ba22ca748dedfc55c156e5531435e2c,2,Pakistan,1,3,4,1,"No Framework",,1,,,,,,,,"No Framework",,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
179,"2015-02-27 17:33:53","2015-02-27 17:41:14",1643fe9249d97c874cac8fd36c60be39f13f058d,3,"United States",8,15,5,4,"Company Internal Framework",,,,,,,1,,,Symfony2,,,,,,,1,,No,,,,,,,,,,,,,,,,,,,,,,,
180,"2015-02-27 17:34:07","2015-02-27 17:49:54",764fec99c7b8e039c3bc77c62500dc6102a9db5b,2,Canada,5,5,2,2,"Company Internal Framework",,,,,,1,,,,"No Framework",,,,,,,1,,No,,,,,,,,,,,,,,,,,,,,,,,
185,"2015-02-27 17:34:30","2015-02-27 17:39:19",b0960d4539716daaad59b0b02325ef969e563d1a,3,"United Kingdom",9,12,4,2,CodeIgniter,,1,1,1,,,,,,Laravel,,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
189,"2015-02-27 17:34:44","2015-02-27 17:37:09",c26bbf5489a1ee852126555e6d94f790f540607d,2,Kazakhstan,4,5,5,2,Phalcon,,,,,,,1,1,fast,,ruby,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
198,"2015-02-27 17:36:05","2015-02-27 17:38:35",e0afcb73993966427f2233a9c6ae788b169b7e45,4,"United States",15,17,4,8,"Yii 2",,1,,,1,,,,,"Yii 2",,1,,,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
200,"2015-02-27 17:36:08","2015-02-27 17:39:01",cdc8e718dd9ae5e7019c0918a21f5cf94c2b513f,2,Brazil,5,5,5,3,Symfony2,,1,,,,,,1,"Symfony 2 has CRUD generators","Zend Framework 2",,1,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
202,"2015-02-27 17:36:10","2015-02-27 17:52:31",e47ab463bbdc3f706918a31e16599b79ba765a57,4,Italy,8,18,2,2,Laravel,,1,1,1,,1,,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
206,"2015-02-27 17:36:29","2015-02-27 17:39:34",770e6e7a7b85bedcac98a19f15017629ea03c7af,2,Nepal,5,6,5,4,Symfony2,,,1,1,,,,,,Laravel,,1,,,,,,,"Yes, I help with both code and documentation",,,,,,1,,,,,,,,,,,,,,,,,
208,"2015-02-27 17:36:34","2015-02-27 17:43:21",26f368950c9740a95913dd89265bf3228828d748,2,"Russian Federation",3,3,4,2,"Yii 1",,1,1,,,,,,,"Yii 2",,1,1,,,1,,,"Yes, I help with documentation (official docs only)",,,1,,,,,,,,,,,,,,,,,,,,
213,"2015-02-27 17:37:01","2015-02-27 17:40:11",a2d827f2b21150e6750e480bc33fde3d55379ee3,3,"United States",10,19,5,3,"No Framework",,,,,,,,1,"We don't make or host web apps",Silex,,1,,,,,,,"Yes, I help with code (including tests)",,,,,,1,,,,,,,,,,,,,,,,,
214,"2015-02-27 17:37:06","2015-02-27 17:39:14",75b28b0de48cbc806a527d4c4c1921d463ab64a7,3,"United Kingdom",10,10,6,1,Laravel,,1,1,,1,1,,,,Laravel,,1,1,,1,1,,,"Yes, I help with code (including tests)",1,,,,,,,,,,,,,,,,,,,,,,
219,"2015-02-27 17:38:06","2015-02-27 17:40:48",55b197b70268646bb779f1ac0e40ab1fe3d2f23b,3,"United Kingdom",12,14,2,6,Symfony2,,,1,1,,1,,,,"No Framework",,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
227,"2015-02-27 17:38:41","2015-02-27 17:46:44",06e5839591946b3c5b34d8dd7a1e9a42e01841c8,5,"United States",14,36,5,4,,"PainlessMVC on Github",1,,,1,,,1,"By being a minimalist MVC, it lets us add in best of breed stuff without bloat, and keep up with the latest trends faster than most frameworks do, yet not have spaghetti code. It also allows new teammates to join us faster if they simply know any MVC framework. There are so many PHP frameworks out there that the market is fragmented. By using a minimalist MVC, we can all be on the same page without hassle.",,"PainlessMVC on Github",1,,,1,,1,"Same reasons as why for work.",No,,,,,,,,,,,,,,,,,,,,,,,
228,"2015-02-27 17:38:49","2015-02-27 17:40:24",cae13c54dedd622a195d188cf2c1eff7974f381d,4,"United Kingdom",15,15,1,5,"Zend Framework 1",,,1,,,,1,,,Symfony2,,,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
230,"2015-02-27 17:38:53","2015-02-27 17:43:43",a3de8b7cdad9cf9262e3bed5eacc58639e1b1857,2,France,4,5,4,2,Symfony2,,1,1,1,1,,,,,Symfony2,,1,1,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
244,"2015-02-27 17:40:28","2015-02-27 17:43:24",3d582a6f6c3706406f1dd2c110e380d937b4403e,4,Serbia,15,16,6,3,"Zend Framework 1",,,,,1,,,,,Symfony2,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
247,"2015-02-27 17:40:40","2015-02-27 21:38:30",44b199c0ae11e64f99e83d5785a0e4499a2b966d,3,Poland,12,12,6,3,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
257,"2015-02-27 17:41:33","2015-02-27 17:46:37",23361f7c2ae613b8161d573bcf9ec1b48add6ed8,4,"Russian Federation",14,17,1,3,"Yii 1",,,1,,,1,,,,"Yii 1",,,1,,,1,,,"Yes, I help with code (including tests)",,1,,,,,,,,,,,,,,,,,,,,,
261,"2015-02-27 17:41:59","2015-02-27 17:45:58",ddecbbc12ab71c9390172fe36eabaf473b8136ca,3,Germany,8,9,6,5,Symfony2,,1,,1,,1,,,,Symfony2,,1,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
262,"2015-02-27 17:42:00","2015-02-27 17:44:59",23df4e8d65f1eaf8cd53094c385c34e373209a53,4,Turkey,10,14,1,1,Laravel,,1,,1,,1,,,,Laravel,,1,,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
263,"2015-02-27 17:41:59","2015-02-27 17:52:18",80163355b9b5b7e8df75b72b2bf2b6befaf18801,2,Portugal,2,4,4,1,Laravel,,1,1,,,,,,,Laravel,,1,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
267,"2015-02-27 17:42:24","2015-02-27 17:45:07",2ef3b4e21d3ccef06249b37194df52e58db31e18,4,"United States",10,15,6,2,"Yii 2",,1,1,1,1,1,,,,"Yii 2",,1,1,1,1,1,,,"Yes, I help with code (including tests)",,,1,,,,,,,,,,,,,,,,,,,,
269,"2015-02-27 17:42:23","2015-02-27 17:46:09",e07e665055d99bc37ae20da2bb3c47d69df53c71,3,Spain,8,10,4,3,"No Framework",,,,,,,,1,,Laravel,,1,1,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
270,"2015-02-27 17:42:42","2015-02-27 17:47:24",e9905bb4e9de3974e2c14de478889a5911ea61d6,3,Croatia,3,4,6,3,"Zend Framework 2",,,,,,,1,,,CodeIgniter,,1,1,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
272,"2015-02-27 17:42:59","2015-02-27 17:44:54",e0349303f1a78673bdc33d61f3f4b5f427853ca1,3,Germany,7,9,5,3,Laravel,,1,1,,,1,,,,Laravel,,1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
273,"2015-02-27 17:42:57","2015-02-27 17:45:55",96b79e1ee2f25d9dec5cce1cdac6c0b6bc81529b,5,Denmark,12,18,3,4,"Yii 1",,,,,,1,,,,"Yii 1",,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
282,"2015-02-27 17:43:46","2015-02-27 17:45:46",e6f96c4e79f87080c806dcfec89332b2424a24c1,4,"United States",17,20,5,3,Laravel,,,,,,1,,,,Laravel,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
291,"2015-02-27 17:44:49","2015-02-27 17:51:55",500b8fba241217b771a6fb1d6c9b3c6aece26aa8,3,Malaysia,3,3,5,1,Laravel,,1,1,1,,1,,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
294,"2015-02-27 17:44:56","2015-02-27 18:10:04",1571a7d43116e307cad85f9790485c64e3c7b1e7,3,"United States",10,10,6,1,CodeIgniter,,1,,1,,,,,,CodeIgniter,,1,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
295,"2015-02-27 17:45:05","2015-02-27 17:47:07",e86e2ae48d0dc48a4411ecedbeb655041e7bc11d,3,Greece,3,5,5,3,Laravel,,1,,,,,,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
299,"2015-02-27 17:45:16","2015-02-27 17:48:11",3da647310694c8f703218f3123bafd3926eee3c3,3,"United States",13,15,1,3,Slim,,1,1,,,,,,,Slim,,1,1,,,,,,"Yes, I help with both code and documentation",,,,,,,,,1,,,,,,,,,,,,,,
300,"2015-02-27 17:45:16","2015-02-27 17:50:39",87f3dd37d5a30e704b035672a25538a4833f7508,2,Brazil,5,7,4,3,FuelPHP,,1,1,,,1,,,,FuelPHP,,1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
303,"2015-02-27 17:45:25","2015-02-27 17:48:12",ff1d4d1efa92635efa0178e4335176e39161f335,2,Croatia,9,12,6,2,"Yii 2",,1,1,1,1,1,,,,"Yii 2",,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
306,"2015-02-27 17:45:38","2015-02-27 17:51:21",4949cc1c34aeb41469739caac271e44c58c90f81,2,Brazil,5,5,4,3,CodeIgniter,,1,,1,,,,,,CodeIgniter,,1,,1,,,,,"Yes, I help with code (including tests)",,,,,,,,,,,,,,,1,,,,,,,,
314,"2015-02-27 17:46:00","2015-02-27 17:48:15",2fe41cb2feda8f303d849cb3b3ffb8cc2e1121d0,2,Belarus,2,4,4,2,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
320,"2015-02-27 17:46:28","2015-02-27 18:03:12",9bdfbc7bd26720b56076be2845f3b3f5662c4701,4,"United States",4,10,3,3,Slim,,,,,,,,1,"minimal, small, works well with front-end frameworks like Ember",Silex,,,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
324,"2015-02-27 17:46:38","2015-02-27 17:48:32",3cd59bb71933f955c735bea9f0c5edf49a96ddb9,5,"United Kingdom",20,30,5,5,Symfony2,,,,,,1,,,,Laravel,,,,,,,1,"Quality and readability of code",No,,,,,,,,,,,,,,,,,,,,,,,
325,"2015-02-27 17:46:34","2015-02-27 18:04:20",a1edf615dd0dc54b8239d6cbfcce2ba2651f6008,3,France,7,8,1,1,Symfony2,,,1,1,,,,,,Laravel,,1,1,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
328,"2015-02-27 17:46:37","2015-02-27 17:48:33",fdb6a680c7859f86f87c19da803a47d338ab5e70,3,France,10,10,6,5,Laravel,,1,1,,,,,,,Laravel,,1,1,,,,,,"Yes, I help with code (including tests)",1,,,,,,,,,,,,,,,,,,,,,,
336,"2015-02-27 17:46:54","2015-02-27 17:51:42",8f72b3d30cb7b037ef72efd55f1f6917cbee7f05,2,Vietnam,2,1,7,2,"Yii 1",,1,1,,,1,1,,,"Yii 2",,1,,,,1,1,performance,"Yes, I help with both code and documentation",,,1,,,1,,,,,,,,,,,,,,,,,
337,"2015-02-27 17:47:06","2015-02-27 17:49:25",46e08f16062d7ec12c322470448aed0472a9540a,3,"United Kingdom",11,11,5,4,"Zend Framework 2",,,,,1,1,1,,,Slim,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
339,"2015-02-27 17:47:26","2015-02-27 17:50:26",ea499fb9801c81742c3cd81b3f398e0a4d98945d,3,Romania,4,5,2,2,"Yii 1",,1,1,,1,1,,,,"Yii 1",,1,,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
341,"2015-02-27 17:47:32","2015-02-27 17:51:01",ac59de27558eadb1e184dfb4e8afaffe101f400a,3,"Russian Federation",10,17,1,1,"Yii 2",,1,1,,1,1,,,,"Yii 2",,1,1,,1,1,,,"Yes, I help with code (including tests)",,,1,,,,,,,,,,,,,,,,,,,,
342,"2015-02-27 17:47:27","2015-02-27 17:50:20",4935719b3fb4f658fe0b8e1cf02b7b6dd1465957,3,Latvia,10,10,5,3,Symfony2,,1,1,,,1,,,,"Yii 2",,1,1,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
346,"2015-02-27 17:48:05","2015-02-27 17:50:24",037c1550c5f4dc7ff4d7d209ec66f126110ea590,3,Spain,11,15,5,5,"Company Internal Framework",,,,,,,1,,,Silex,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
347,"2015-02-27 17:48:15","2015-02-27 17:50:38",4461760773659b9eed706cc718f3409bebc70e24,3,Poland,4,4,6,3,"Yii 2",,1,,,,,,,,"Yii 2",,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
355,"2015-02-27 17:48:53","2015-02-27 17:52:11",6717f1f59735d99c315cf04b672169592dbf27a9,3,Hungary,10,12,5,2,"Yii 2",,,1,,,,,,,"Yii 2",,,,1,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
365,"2015-02-27 17:49:27","2015-02-27 18:23:26",da38ca7af1b089c75377cad93cc22e4fc1578e7c,3,Iran,3,5,2,1,FuelPHP,,,,,,,,1,"fuelphp very fast and light, and hmvc is goooooood",FuelPHP,,,,,,,1,"easy to learn","Yes, I help with both code and documentation",1,,1,,,1,,,,,,,,,1,,,,,,,,
367,"2015-02-27 17:49:33","2015-02-27 17:51:34",b0c4ae6b6884fa00f248e587b548380eacc6cbad,1,Lithuania,5,6,1,1,"Yii 2",,1,1,1,1,1,,1,"Easy, everything extendable","Yii 2",,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
374,"2015-02-27 17:49:51","2015-02-27 17:50:56",8df930e4497074d4f3122db922385ba3c4da21ec,3,"United States",10,10,5,2,Symfony2,,,,,,1,,,,Symfony2,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
376,"2015-02-27 17:49:57","2015-02-27 17:53:38",2b34cf8be9440098b1779be75f09c1d8916cd35f,3,"United States",5,5,1,2,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
378,"2015-02-27 17:50:05","2015-02-27 17:53:09",a33dc9816e8d37c9cd19ba47d9b7d335a3038388,3,France,5,5,6,3,CodeIgniter,,1,,,,,1,,,Laravel,,1,1,1,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
381,"2015-02-27 17:50:18","2015-02-27 17:51:57",ba4cd8a633d2a3af406081273a782cbb3e641a57,2,"United States",5,7,5,2,Laravel,,1,1,1,1,1,,,,Laravel,,1,1,1,1,1,,,"Yes, I help with code (including tests)",1,,,,,,,,,,,,,,,,,,,,,,
384,"2015-02-27 17:50:40","2015-02-27 17:53:13",5285d87a4fa7ee18ac7c50671be762c5d465dded,3,Latvia,12,12,6,5,Laravel,,1,,,1,,,,,Laravel,,1,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
385,"2015-02-27 17:50:45","2015-02-27 17:56:07",d120d7280bafbe387a7d876016737bcda961e805,3,Iran,7,20,6,4,"Yii 2",,1,1,1,1,1,,1,"Great support of Web 2.0","Yii 2",,1,1,1,1,1,1,"Great support of Web 2.0","Yes, I help with both code and documentation",,1,1,,,,,,,,,,,,,,,,,,,,
386,"2015-02-27 17:50:58","2015-02-27 17:53:48",3305357c015796c5bbb6c807754bab38c593aa35,4,Germany,15,15,5,1,CodeIgniter,,,,,,,1,,,CodeIgniter,,1,,,,1,,,"Yes, I help with code (including tests)",,,,,,,,,,,,,,,1,,,,,,,,
393,"2015-02-27 17:51:11","2015-02-27 17:53:52",8a72258a3f9b0333b5f800cab8b570be250101ee,3,Canada,10,10,4,2,CodeIgniter,,1,1,1,,,,,,CodeIgniter,,1,1,1,1,,,,No,,,,,,,,,,,,,,,,,,,,,,,
401,"2015-02-27 17:51:51","2015-02-27 17:56:09",9cbc5734229e42491526355d788016e0363bcdd8,3,Jordan,3,5,2,6,Phalcon,,,,,,,,1,Performance,Phalcon,,,,,,,1,Performance,No,,,,,,,,,,,,,,,,,,,,,,,
405,"2015-02-27 17:51:55","2015-02-27 17:56:36",7ed96b0f5fdeb13fcc7a5042266febbd15d5045b,3,Thailand,5,8,5,2,"Yii 2",,,1,1,1,1,1,,,"Yii 2",,1,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
407,"2015-02-27 17:51:52","2015-02-27 17:54:58",39a63f17cff813bf1166871f0ebfcb2faf60df97,3,Poland,10,12,6,5,"Yii 1",,,,,,1,,1,"Readable source code, well documented - great API browser. Inspired by RoR.","Yii 2",,,,,,1,,,"Yes, I help with code (including tests)",,1,1,,,,,,,,,,,,,,,,,,,,
413,"2015-02-27 17:52:22","2015-02-27 17:57:10",1cb8642377f440d04b88a48a1f3e854d134e0ff6,2,Philippines,3,3,5,2,"Yii 1",,,,,,1,,1,"I am very productive using these framework.It has lot of plugins.
I can use 3rd party library easily. Easy to install . CRUD generator. cuts development time.","Yii 1",,,,,1,1,,,"Yes, I help with documentation (official docs only)",,1,,,,,,,,,,,,,,,,,,,,,
414,"2015-02-27 17:52:25","2015-02-27 17:54:15",1de91ef3bba1da4965c7aaec735ee5454b6edd81,4,Spain,9,12,1,3,Symfony2,,,1,1,1,1,,,,Symfony2,,,1,1,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
417,"2015-02-27 17:52:30","2015-02-27 17:56:46",77e2ef8f19fb6fc9674205fd9f3c998bbea14709,3,Argentina,10,10,5,3,Laravel,,,,,,1,,,,Laravel,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
424,"2015-02-27 17:52:38","2015-02-27 17:54:40",ee265dc1016b22545f55169ced056d749849ae9c,3,Spain,5,5,5,3,Laravel,,1,,1,,1,,,,Laravel,,1,,,1,1,,,No,,,,,,,,,,,,,,,,,,,,,,,
427,"2015-02-27 17:52:41","2015-02-27 17:54:31",f2f368076e8b7a8dd6433ddd1939b05e574e5e7f,2,"United States",3,5,1,2,Laravel,,1,1,1,1,1,,1,"Ability to integrate best PHP practices.",Laravel,,1,1,1,1,1,,,"Yes, I help with both code and documentation",1,,,,,,,,,,,,,,,,,,,,,,
